orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010783,20008,ARTWORK,DC,397586.68000000605
1010904,20008,BOOK,DC,397586.68000000605
1011043,20037,BOOK,DC,397586.68000000605
1011167,20036,BOOK,DC,397586.68000000605
1011320,20008,BOOK,DC,397586.68000000605
1011404,20008,ARTWORK,DC,397586.68000000605
1011786,20003,BOOK,DC,397586.68000000605
1000020,20515,BOOK,DC,397586.68000000605
1000297,20009,ARTWORK,DC,397586.68000000605
1000610,20013,ARTWORK,DC,397586.68000000605
1000615,20015,BOOK,DC,397586.68000000605
1000738,20016,ARTWORK,DC,397586.68000000605
1000815,20011,BOOK,DC,397586.68000000605
1000816,20011,BOOK,DC,397586.68000000605
1000817,20011,BOOK,DC,397586.68000000605
1000818,20011,BOOK,DC,397586.68000000605
1000819,20011,BOOK,DC,397586.68000000605
1000820,20011,BOOK,DC,397586.68000000605
1001008,20037,ARTWORK,DC,397586.68000000605
1001009,20037,ARTWORK,DC,397586.68000000605
1001031,20015,BOOK,DC,397586.68000000605
1001032,20015,BOOK,DC,397586.68000000605
1001033,20015,BOOK,DC,397586.68000000605
1001034,20015,BOOK,DC,397586.68000000605
1001174,20007,ARTWORK,DC,397586.68000000605
1001281,20036,BOOK,DC,397586.68000000605
1001282,20036,ARTWORK,DC,397586.68000000605
1001283,20036,BOOK,DC,397586.68000000605
1001501,20016,ARTWORK,DC,397586.68000000605
1001541,20005,ARTWORK,DC,397586.68000000605
1001673,20016,ARTWORK,DC,397586.68000000605
1001678,20036,BOOK,DC,397586.68000000605
1001700,20036,BOOK,DC,397586.68000000605
1001753,20008,ARTWORK,DC,397586.68000000605
1001838,20024,ARTWORK,DC,397586.68000000605
1002157,20016,ARTWORK,DC,397586.68000000605
1002177,20036,ARTWORK,DC,397586.68000000605
1002178,20036,BOOK,DC,397586.68000000605
1002179,20036,ARTWORK,DC,397586.68000000605
1002403,20008,ARTWORK,DC,397586.68000000605
1011979,20521,ARTWORK,DC,397586.68000000605
1012191,20009,OCCASION,DC,397586.68000000605
1012192,20009,BOOK,DC,397586.68000000605
1012287,20003,BOOK,DC,397586.68000000605
1012374,20006,BOOK,DC,397586.68000000605
1012595,20016,OCCASION,DC,397586.68000000605
1012681,20008,BOOK,DC,397586.68000000605
1012905,20016,BOOK,DC,397586.68000000605
1013118,20016,BOOK,DC,397586.68000000605
1003278,20015,ARTWORK,DC,397586.68000000605
1003476,20006,CALENDAR,DC,397586.68000000605
1003477,20006,CALENDAR,DC,397586.68000000605
1003924,20008,APPAREL,DC,397586.68000000605
1004176,20008,ARTWORK,DC,397586.68000000605
1004304,20008,ARTWORK,DC,397586.68000000605
1004336,20009,OCCASION,DC,397586.68000000605
1004435,20007,OCCASION,DC,397586.68000000605
1004694,20015,CALENDAR,DC,397586.68000000605
1004721,20008,APPAREL,DC,397586.68000000605
1004814,20018,OCCASION,DC,397586.68000000605
1004815,20018,OCCASION,DC,397586.68000000605
1004854,20003,OCCASION,DC,397586.68000000605
1004855,20003,ARTWORK,DC,397586.68000000605
1004856,20003,ARTWORK,DC,397586.68000000605
1004882,20016,ARTWORK,DC,397586.68000000605
1004958,20015,BOOK,DC,397586.68000000605
1005312,20006,ARTWORK,DC,397586.68000000605
1005447,20037,ARTWORK,DC,397586.68000000605
1005843,20008,ARTWORK,DC,397586.68000000605
1006087,20036,OTHER,DC,397586.68000000605
1006088,20036,BOOK,DC,397586.68000000605
1006543,20005,BOOK,DC,397586.68000000605
1006929,20008,OCCASION,DC,397586.68000000605
1007463,20016,ARTWORK,DC,397586.68000000605
1007464,20009,BOOK,DC,397586.68000000605
1007499,20003,ARTWORK,DC,397586.68000000605
1013328,20008,BOOK,DC,397586.68000000605
1013396,20015,ARTWORK,DC,397586.68000000605
1013611,20008,BOOK,DC,397586.68000000605
1014000,20015,BOOK,DC,397586.68000000605
1014049,20036,ARTWORK,DC,397586.68000000605
1014050,20036,ARTWORK,DC,397586.68000000605
1014059,20036,BOOK,DC,397586.68000000605
1014085,20009,ARTWORK,DC,397586.68000000605
1014119,20036,ARTWORK,DC,397586.68000000605
1014315,20011,BOOK,DC,397586.68000000605
1014348,20016,ARTWORK,DC,397586.68000000605
1014440,20016,OTHER,DC,397586.68000000605
1014441,20016,BOOK,DC,397586.68000000605
1014442,20016,BOOK,DC,397586.68000000605
1014443,20016,BOOK,DC,397586.68000000605
1008107,20016,BOOK,DC,397586.68000000605
1008407,20008,BOOK,DC,397586.68000000605
1008890,20008,ARTWORK,DC,397586.68000000605
1009019,20036,BOOK,DC,397586.68000000605
1009020,20008,OTHER,DC,397586.68000000605
1009042,20008,BOOK,DC,397586.68000000605
1009054,20008,BOOK,DC,397586.68000000605
1009410,20024,OCCASION,DC,397586.68000000605
1009495,20515,OCCASION,DC,397586.68000000605
1009585,20007,BOOK,DC,397586.68000000605
1009586,20007,BOOK,DC,397586.68000000605
1009587,20007,BOOK,DC,397586.68000000605
1009975,20008,ARTWORK,DC,397586.68000000605
1010038,20009,BOOK,DC,397586.68000000605
1010392,20009,BOOK,DC,397586.68000000605
1010404,20010,ARTWORK,DC,397586.68000000605
1010490,20015,BOOK,DC,397586.68000000605
1014764,20037,BOOK,DC,397586.68000000605
1014813,20006,ARTWORK,DC,397586.68000000605
1015028,20052,OCCASION,DC,397586.68000000605
1015076,20016,ARTWORK,DC,397586.68000000605
1015955,20008,BOOK,DC,397586.68000000605
1016055,20037,BOOK,DC,397586.68000000605
1016308,20009,OCCASION,DC,397586.68000000605
1016548,20004,ARTWORK,DC,397586.68000000605
1016698,20007,BOOK,DC,397586.68000000605
1016724,20560,BOOK,DC,397586.68000000605
1017189,20008,OCCASION,DC,397586.68000000605
1017194,20015,OCCASION,DC,397586.68000000605
1017367,20007,BOOK,DC,397586.68000000605
1017459,20002,ARTWORK,DC,397586.68000000605
1018196,20007,BOOK,DC,397586.68000000605
1018552,20016,OCCASION,DC,397586.68000000605
1018596,20015,BOOK,DC,397586.68000000605
1018988,20008,BOOK,DC,397586.68000000605
1018995,20037,BOOK,DC,397586.68000000605
1018996,20037,BOOK,DC,397586.68000000605
1019031,20012,OCCASION,DC,397586.68000000605
1019032,20012,ARTWORK,DC,397586.68000000605
1019033,20012,ARTWORK,DC,397586.68000000605
1019082,20036,BOOK,DC,397586.68000000605
1019217,20016,BOOK,DC,397586.68000000605
1019594,20016,BOOK,DC,397586.68000000605
1020065,20001,ARTWORK,DC,397586.68000000605
1020066,20001,ARTWORK,DC,397586.68000000605
1020067,20001,OCCASION,DC,397586.68000000605
1020068,20001,ARTWORK,DC,397586.68000000605
1020840,20064,ARTWORK,DC,397586.68000000605
1020854,20007,BOOK,DC,397586.68000000605
1020914,20015,ARTWORK,DC,397586.68000000605
1020983,20016,ARTWORK,DC,397586.68000000605
1021017,20016,ARTWORK,DC,397586.68000000605
1021018,20016,BOOK,DC,397586.68000000605
1021161,20007,BOOK,DC,397586.68000000605
1021306,20005,ARTWORK,DC,397586.68000000605
1021384,20015,OCCASION,DC,397586.68000000605
1021637,20007,BOOK,DC,397586.68000000605
1021713,20005,BOOK,DC,397586.68000000605
1021922,20008,BOOK,DC,397586.68000000605
1022040,20007,BOOK,DC,397586.68000000605
1022160,20008,BOOK,DC,397586.68000000605
1022447,20007,BOOK,DC,397586.68000000605
1023207,20521,BOOK,DC,397586.68000000605
1023243,20007,BOOK,DC,397586.68000000605
1023324,20008,OTHER,DC,397586.68000000605
1023450,20016,BOOK,DC,397586.68000000605
1023656,20015,BOOK,DC,397586.68000000605
1023718,20037,BOOK,DC,397586.68000000605
1023786,20008,BOOK,DC,397586.68000000605
1023800,20016,ARTWORK,DC,397586.68000000605
1023830,20024,BOOK,DC,397586.68000000605
1023973,20015,BOOK,DC,397586.68000000605
1023974,20015,OTHER,DC,397586.68000000605
1024125,20003,BOOK,DC,397586.68000000605
1024220,20006,BOOK,DC,397586.68000000605
1024319,20007,BOOK,DC,397586.68000000605
1024333,20036,BOOK,DC,397586.68000000605
1024418,20007,BOOK,DC,397586.68000000605
1024506,20036,BOOK,DC,397586.68000000605
1024563,20016,OCCASION,DC,397586.68000000605
1024609,20017,BOOK,DC,397586.68000000605
1024610,20017,BOOK,DC,397586.68000000605
1025074,20016,ARTWORK,DC,397586.68000000605
1025075,20008,ARTWORK,DC,397586.68000000605
1025217,20036,BOOK,DC,397586.68000000605
1025218,20036,ARTWORK,DC,397586.68000000605
1025244,20016,BOOK,DC,397586.68000000605
1025255,20036,BOOK,DC,397586.68000000605
1025319,20009,OCCASION,DC,397586.68000000605
1025320,20009,BOOK,DC,397586.68000000605
1025321,20009,OTHER,DC,397586.68000000605
1025322,20009,BOOK,DC,397586.68000000605
1025334,20008,BOOK,DC,397586.68000000605
1025497,20008,BOOK,DC,397586.68000000605
1025498,20510,BOOK,DC,397586.68000000605
1025505,20036,BOOK,DC,397586.68000000605
1025532,20009,OTHER,DC,397586.68000000605
1025533,20009,ARTWORK,DC,397586.68000000605
1025536,20024,BOOK,DC,397586.68000000605
1025537,20024,BOOK,DC,397586.68000000605
1025680,20016,BOOK,DC,397586.68000000605
1025681,20016,BOOK,DC,397586.68000000605
1025760,20036,BOOK,DC,397586.68000000605
1025847,20004,BOOK,DC,397586.68000000605
1025848,20004,BOOK,DC,397586.68000000605
1026059,20009,BOOK,DC,397586.68000000605
1026149,20010,BOOK,DC,397586.68000000605
1026199,20009,ARTWORK,DC,397586.68000000605
1026374,20003,BOOK,DC,397586.68000000605
1026495,20003,BOOK,DC,397586.68000000605
1026509,20016,BOOK,DC,397586.68000000605
1026595,20008,BOOK,DC,397586.68000000605
1026622,20036,BOOK,DC,397586.68000000605
1026623,20036,BOOK,DC,397586.68000000605
1026634,20009,BOOK,DC,397586.68000000605
1026649,20009,ARTWORK,DC,397586.68000000605
1026869,20016,BOOK,DC,397586.68000000605
1026915,20015,ARTWORK,DC,397586.68000000605
1027006,20007,BOOK,DC,397586.68000000605
1027007,20007,BOOK,DC,397586.68000000605
1027008,20007,BOOK,DC,397586.68000000605
1027009,20007,BOOK,DC,397586.68000000605
1027032,20008,ARTWORK,DC,397586.68000000605
1027042,20016,OCCASION,DC,397586.68000000605
1027111,20005,BOOK,DC,397586.68000000605
1027151,20007,BOOK,DC,397586.68000000605
1027152,20037,BOOK,DC,397586.68000000605
1027217,20016,BOOK,DC,397586.68000000605
1027268,20007,BOOK,DC,397586.68000000605
1027319,20510,BOOK,DC,397586.68000000605
1027364,20008,BOOK,DC,397586.68000000605
1027705,20012,OCCASION,DC,397586.68000000605
1027790,20005,BOOK,DC,397586.68000000605
1027889,20016,BOOK,DC,397586.68000000605
