orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010628,96816,BOOK,HI,47324.659999999945
1010663,96816,BOOK,HI,47324.659999999945
1010664,96816,BOOK,HI,47324.659999999945
1011222,96815,BOOK,HI,47324.659999999945
1011223,96815,BOOK,HI,47324.659999999945
1011879,96749,BOOK,HI,47324.659999999945
1000981,96813,BOOK,HI,47324.659999999945
1002252,96755,ARTWORK,HI,47324.659999999945
1013142,96785,ARTWORK,HI,47324.659999999945
1002825,96766,ARTWORK,HI,47324.659999999945
1002874,96822,BOOK,HI,47324.659999999945
1003189,96825,ARTWORK,HI,47324.659999999945
1005425,96743,OCCASION,HI,47324.659999999945
1005672,96701,BOOK,HI,47324.659999999945
1009886,96734,OCCASION,HI,47324.659999999945
1010446,96822,BOOK,HI,47324.659999999945
1010447,96822,BOOK,HI,47324.659999999945
1016109,96821,BOOK,HI,47324.659999999945
1025784,96815,OCCASION,HI,47324.659999999945
1025785,96815,ARTWORK,HI,47324.659999999945
1026609,96826,BOOK,HI,47324.659999999945
1033078,96768,OTHER,HI,47324.659999999945
1034823,96734,BOOK,HI,47324.659999999945
1037674,96701,BOOK,HI,47324.659999999945
1040172,96822,OTHER,HI,47324.659999999945
1040173,96822,BOOK,HI,47324.659999999945
1040987,96816,OTHER,HI,47324.659999999945
1040988,96816,BOOK,HI,47324.659999999945
1041725,96817,OCCASION,HI,47324.659999999945
1042072,96768,ARTWORK,HI,47324.659999999945
1045055,96815,ARTWORK,HI,47324.659999999945
1047457,96713,BOOK,HI,47324.659999999945
1048182,96815,BOOK,HI,47324.659999999945
1050624,96701,BOOK,HI,47324.659999999945
1052107,96819,BOOK,HI,47324.659999999945
1052108,96819,BOOK,HI,47324.659999999945
1053052,96744,CALENDAR,HI,47324.659999999945
1053053,96744,CALENDAR,HI,47324.659999999945
1053182,96743,OCCASION,HI,47324.659999999945
1053183,96743,OCCASION,HI,47324.659999999945
1053184,96743,OCCASION,HI,47324.659999999945
1054252,96821,BOOK,HI,47324.659999999945
