orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010646,85733,BOOK,AZ,173505.27000000124
1011200,85283,BOOK,AZ,173505.27000000124
1011212,85719,ARTWORK,AZ,173505.27000000124
1011213,85719,ARTWORK,AZ,173505.27000000124
1011248,85718,ARTWORK,AZ,173505.27000000124
1011249,85718,ARTWORK,AZ,173505.27000000124
1011385,85733,BOOK,AZ,173505.27000000124
1011679,85248,BOOK,AZ,173505.27000000124
1011728,85016,BOOK,AZ,173505.27000000124
1000526,85018,CALENDAR,AZ,173505.27000000124
1000649,85254,ARTWORK,AZ,173505.27000000124
1000897,85015,OCCASION,AZ,173505.27000000124
1000898,85015,OCCASION,AZ,173505.27000000124
1000899,85015,OCCASION,AZ,173505.27000000124
1001241,85375,BOOK,AZ,173505.27000000124
1001242,85375,OTHER,AZ,173505.27000000124
1001243,85375,OTHER,AZ,173505.27000000124
1001244,85375,BOOK,AZ,173505.27000000124
1001245,85718,OTHER,AZ,173505.27000000124
1001408,85281,BOOK,AZ,173505.27000000124
1001539,85250,ARTWORK,AZ,173505.27000000124
1001556,85355,BOOK,AZ,173505.27000000124
1001590,85355,CALENDAR,AZ,173505.27000000124
1001591,85355,BOOK,AZ,173505.27000000124
1001592,85355,CALENDAR,AZ,173505.27000000124
1001681,85018,BOOK,AZ,173505.27000000124
1001682,85018,BOOK,AZ,173505.27000000124
1001975,85044,BOOK,AZ,173505.27000000124
1001976,85044,BOOK,AZ,173505.27000000124
1002024,85306,BOOK,AZ,173505.27000000124
1002025,85306,BOOK,AZ,173505.27000000124
1002121,85258,BOOK,AZ,173505.27000000124
1002123,85614,ARTWORK,AZ,173505.27000000124
1002191,85020,ARTWORK,AZ,173505.27000000124
1002244,85712,OCCASION,AZ,173505.27000000124
1002245,85712,ARTWORK,AZ,173505.27000000124
1002246,85712,OCCASION,AZ,173505.27000000124
1002350,85248,BOOK,AZ,173505.27000000124
1002351,85248,BOOK,AZ,173505.27000000124
1012108,85257,ARTWORK,AZ,173505.27000000124
1012319,85004,ARTWORK,AZ,173505.27000000124
1012566,85250,BOOK,AZ,173505.27000000124
1012624,85351,OTHER,AZ,173505.27000000124
1012801,85018,CALENDAR,AZ,173505.27000000124
1012802,85018,CALENDAR,AZ,173505.27000000124
1013082,85718,ARTWORK,AZ,173505.27000000124
1013083,85718,ARTWORK,AZ,173505.27000000124
