orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1190837,4059,CALENDAR,CH,209.75
1303428,1260,ARTWORK,CH,209.75
1141089,"",BOOK,MG,19.95
1010623,45459,OTHER,OH,316045.44000000897
1010624,45459,BOOK,OH,316045.44000000897
1010639,43021,OCCASION,OH,316045.44000000897
1010689,43215,BOOK,OH,316045.44000000897
1010844,44721,ARTWORK,OH,316045.44000000897
1011128,45244,CALENDAR,OH,316045.44000000897
1011141,44122,ARTWORK,OH,316045.44000000897
1011172,44072,BOOK,OH,316045.44000000897
1011173,44072,ARTWORK,OH,316045.44000000897
1011174,44072,ARTWORK,OH,316045.44000000897
1011175,44072,ARTWORK,OH,316045.44000000897
1011176,44072,ARTWORK,OH,316045.44000000897
1011266,44120,ARTWORK,OH,316045.44000000897
1011323,45208,BOOK,OH,316045.44000000897
1011362,44224,BOOK,OH,316045.44000000897
1011389,43220,BOOK,OH,316045.44000000897
1011521,43551,OCCASION,OH,316045.44000000897
1011663,45237,BOOK,OH,316045.44000000897
1011684,44236,ARTWORK,OH,316045.44000000897
1011701,45764,BOOK,OH,316045.44000000897
1000036,45440,ARTWORK,OH,316045.44000000897
1000157,44118,ARTWORK,OH,316045.44000000897
1000158,44118,ARTWORK,OH,316045.44000000897
1000206,45224,BOOK,OH,316045.44000000897
1000207,45224,BOOK,OH,316045.44000000897
1000208,45224,BOOK,OH,316045.44000000897
1000343,44236,ARTWORK,OH,316045.44000000897
1000452,45056,BOOK,OH,316045.44000000897
1000459,45206,BOOK,OH,316045.44000000897
1000498,45243,OCCASION,OH,316045.44000000897
1000499,45243,OCCASION,OH,316045.44000000897
1000751,43201,BOOK,OH,316045.44000000897
1000824,43615,ARTWORK,OH,316045.44000000897
1000893,45236,OCCASION,OH,316045.44000000897
1000913,44070,BOOK,OH,316045.44000000897
1000939,44113,BOOK,OH,316045.44000000897
1000996,44240,BOOK,OH,316045.44000000897
1001014,44138,ARTWORK,OH,316045.44000000897
1001071,45150,OCCASION,OH,316045.44000000897
1001072,45150,OCCASION,OH,316045.44000000897
1001073,45150,OCCASION,OH,316045.44000000897
1001126,44139,ARTWORK,OH,316045.44000000897
1001127,44139,ARTWORK,OH,316045.44000000897
1001150,44124,BOOK,OH,316045.44000000897
1001340,45215,BOOK,OH,316045.44000000897
1001367,44444,ARTWORK,OH,316045.44000000897
1001379,43209,BOOK,OH,316045.44000000897
