orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010578,91505,BOOK,CA,1740008.3899997955
1010625,93311,ARTWORK,CA,1740008.3899997955
1010678,92675,ARTWORK,CA,1740008.3899997955
1010752,94595,OCCASION,CA,1740008.3899997955
1010755,90272,ARTWORK,CA,1740008.3899997955
1010806,94920,ARTWORK,CA,1740008.3899997955
1010807,94117,ARTWORK,CA,1740008.3899997955
1010812,93421,BOOK,CA,1740008.3899997955
1010813,94105,OCCASION,CA,1740008.3899997955
1010814,92064,BOOK,CA,1740008.3899997955
1010818,92182,ARTWORK,CA,1740008.3899997955
1010823,92831,BOOK,CA,1740008.3899997955
1010878,90068,OCCASION,CA,1740008.3899997955
1010908,94707,BOOK,CA,1740008.3899997955
1010962,94556,CALENDAR,CA,1740008.3899997955
1010965,94526,ARTWORK,CA,1740008.3899997955
1010977,92008,BOOK,CA,1740008.3899997955
1011005,92691,BOOK,CA,1740008.3899997955
1011011,94305,BOOK,CA,1740008.3899997955
1011068,90045,BOOK,CA,1740008.3899997955
1011069,94965,ARTWORK,CA,1740008.3899997955
1011074,91364,BOOK,CA,1740008.3899997955
1011124,92651,CALENDAR,CA,1740008.3899997955
1011125,94122,ARTWORK,CA,1740008.3899997955
1011133,92264,BOOK,CA,1740008.3899997955
1011134,92264,BOOK,CA,1740008.3899997955
1011135,92264,BOOK,CA,1740008.3899997955
1011139,91210,BOOK,CA,1740008.3899997955
1011171,90068,BOOK,CA,1740008.3899997955
1011197,94707,OCCASION,CA,1740008.3899997955
1011225,92648,ARTWORK,CA,1740008.3899997955
1011262,90266,BOOK,CA,1740008.3899997955
1011276,94118,OCCASION,CA,1740008.3899997955
1011283,90068,ARTWORK,CA,1740008.3899997955
1011292,94903,BOOK,CA,1740008.3899997955
1011296,94602,BOOK,CA,1740008.3899997955
1011297,94602,BOOK,CA,1740008.3899997955
1011310,91106,CALENDAR,CA,1740008.3899997955
1011326,94957,BOOK,CA,1740008.3899997955
1011328,92705,BOOK,CA,1740008.3899997955
1011334,94124,BOOK,CA,1740008.3899997955
1011343,90210,ARTWORK,CA,1740008.3899997955
1011363,94102,BOOK,CA,1740008.3899997955
1011378,94509,ARTWORK,CA,1740008.3899997955
1011379,94509,ARTWORK,CA,1740008.3899997955
1011390,92660,ARTWORK,CA,1740008.3899997955
1011413,90035,BOOK,CA,1740008.3899997955
1011419,94705,ARTWORK,CA,1740008.3899997955
1011448,94549,OCCASION,CA,1740008.3899997955
1011471,95616,OTHER,CA,1740008.3899997955
1011514,95814,BOOK,CA,1740008.3899997955
1011515,95814,ARTWORK,CA,1740008.3899997955
1011516,95814,BOOK,CA,1740008.3899997955
1011550,90064,BOOK,CA,1740008.3899997955
1011559,94530,CALENDAR,CA,1740008.3899997955
1011565,91941,OCCASION,CA,1740008.3899997955
1011566,91941,OCCASION,CA,1740008.3899997955
1011567,91941,OCCASION,CA,1740008.3899997955
1011568,91941,OCCASION,CA,1740008.3899997955
1011569,91941,OCCASION,CA,1740008.3899997955
1011570,91941,OCCASION,CA,1740008.3899997955
1011590,94133,BOOK,CA,1740008.3899997955
1011591,92109,ARTWORK,CA,1740008.3899997955
1011592,92651,BOOK,CA,1740008.3899997955
1011605,94110,FREEBIE,CA,1740008.3899997955
1011626,94402,BOOK,CA,1740008.3899997955
1011634,90065,BOOK,CA,1740008.3899997955
1011635,93541,ARTWORK,CA,1740008.3899997955
1011649,92101,BOOK,CA,1740008.3899997955
1011655,94708,OTHER,CA,1740008.3899997955
1011702,94062,BOOK,CA,1740008.3899997955
1011725,90036,ARTWORK,CA,1740008.3899997955
