orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010847,28202,BOOK,NC,210470.84000000168
1010870,28202,ARTWORK,NC,210470.84000000168
1010871,28202,ARTWORK,NC,210470.84000000168
1010872,28202,BOOK,NC,210470.84000000168
1010873,28202,ARTWORK,NC,210470.84000000168
1010874,28202,ARTWORK,NC,210470.84000000168
1010934,27705,BOOK,NC,210470.84000000168
1010969,27106,BOOK,NC,210470.84000000168
1011028,27455,CALENDAR,NC,210470.84000000168
1011060,27573,OCCASION,NC,210470.84000000168
1011061,27573,OCCASION,NC,210470.84000000168
1011062,27573,OCCASION,NC,210470.84000000168
1011063,27573,OCCASION,NC,210470.84000000168
1011405,28791,ARTWORK,NC,210470.84000000168
1011547,28277,BOOK,NC,210470.84000000168
1011647,28704,OTHER,NC,210470.84000000168
1011648,28704,ARTWORK,NC,210470.84000000168
1000125,28037,BOOK,NC,210470.84000000168
1000465,28460,ARTWORK,NC,210470.84000000168
1000475,27613,ARTWORK,NC,210470.84000000168
1000508,27265,BOOK,NC,210470.84000000168
1000552,27408,BOOK,NC,210470.84000000168
1000690,28216,ARTWORK,NC,210470.84000000168
1000781,28607,ARTWORK,NC,210470.84000000168
1001040,27514,ARTWORK,NC,210470.84000000168
1001226,27358,ARTWORK,NC,210470.84000000168
1001413,27215,ARTWORK,NC,210470.84000000168
1001414,27215,ARTWORK,NC,210470.84000000168
1001431,28782,BOOK,NC,210470.84000000168
1001446,28078,ARTWORK,NC,210470.84000000168
1001447,28078,BOOK,NC,210470.84000000168
1001480,28618,ARTWORK,NC,210470.84000000168
1001519,28805,BOOK,NC,210470.84000000168
1001971,27514,BOOK,NC,210470.84000000168
1001981,27615,OTHER,NC,210470.84000000168
1002176,27262,BOOK,NC,210470.84000000168
1002334,28202,ARTWORK,NC,210470.84000000168
1002380,27511,ARTWORK,NC,210470.84000000168
1002443,28209,BOOK,NC,210470.84000000168
1002624,28205,ARTWORK,NC,210470.84000000168
1011936,28027,ARTWORK,NC,210470.84000000168
1011974,27516,ARTWORK,NC,210470.84000000168
1012219,28546,BOOK,NC,210470.84000000168
1012413,28105,ARTWORK,NC,210470.84000000168
1012414,28105,ARTWORK,NC,210470.84000000168
1012910,27713,OCCASION,NC,210470.84000000168
1013060,28539,BOOK,NC,210470.84000000168
1013078,28210,BOOK,NC,210470.84000000168
1013079,28210,BOOK,NC,210470.84000000168
1002643,28412,ARTWORK,NC,210470.84000000168
1002644,28412,BOOK,NC,210470.84000000168
1002704,27560,BOOK,NC,210470.84000000168
1002995,27516,ARTWORK,NC,210470.84000000168
1002997,28731,ARTWORK,NC,210470.84000000168
1003016,28270,ARTWORK,NC,210470.84000000168
1003017,28270,BOOK,NC,210470.84000000168
1003018,28270,BOOK,NC,210470.84000000168
1003054,27514,ARTWORK,NC,210470.84000000168
1003380,28430,ARTWORK,NC,210470.84000000168
1003398,28806,BOOK,NC,210470.84000000168
1003442,28226,ARTWORK,NC,210470.84000000168
1003490,28805,ARTWORK,NC,210470.84000000168
1003564,28443,ARTWORK,NC,210470.84000000168
1003642,28031,ARTWORK,NC,210470.84000000168
1003643,28031,ARTWORK,NC,210470.84000000168
1003644,28031,ARTWORK,NC,210470.84000000168
1003648,28001,OCCASION,NC,210470.84000000168
1003764,27312,BOOK,NC,210470.84000000168
1003765,27312,BOOK,NC,210470.84000000168
1003768,27707,ARTWORK,NC,210470.84000000168
1003813,27514,BOOK,NC,210470.84000000168
1003835,28205,ARTWORK,NC,210470.84000000168
1003951,28036,BOOK,NC,210470.84000000168
1003952,28036,ARTWORK,NC,210470.84000000168
1003953,28036,BOOK,NC,210470.84000000168
1004260,27312,ARTWORK,NC,210470.84000000168
1004335,27514,BOOK,NC,210470.84000000168
1004349,28031,ARTWORK,NC,210470.84000000168
1004588,27705,OCCASION,NC,210470.84000000168
1004594,27514,ARTWORK,NC,210470.84000000168
1004668,27612,ARTWORK,NC,210470.84000000168
1004734,28370,ARTWORK,NC,210470.84000000168
1004942,28704,ARTWORK,NC,210470.84000000168
1004943,28704,ARTWORK,NC,210470.84000000168
1004944,28704,BOOK,NC,210470.84000000168
1005596,28226,ARTWORK,NC,210470.84000000168
1005602,28677,ARTWORK,NC,210470.84000000168
1005603,28677,ARTWORK,NC,210470.84000000168
1005607,28409,BOOK,NC,210470.84000000168
1005608,28409,BOOK,NC,210470.84000000168
1005878,28607,OCCASION,NC,210470.84000000168
1006112,27615,BOOK,NC,210470.84000000168
1006257,28409,ARTWORK,NC,210470.84000000168
1006546,27615,ARTWORK,NC,210470.84000000168
1006714,28212,BOOK,NC,210470.84000000168
1006715,28212,BOOK,NC,210470.84000000168
1006917,28461,BOOK,NC,210470.84000000168
1006918,28461,BOOK,NC,210470.84000000168
1006991,27403,ARTWORK,NC,210470.84000000168
1006992,27403,OCCASION,NC,210470.84000000168
1007055,28278,OCCASION,NC,210470.84000000168
1007256,27514,BOOK,NC,210470.84000000168
1007257,27514,ARTWORK,NC,210470.84000000168
1007258,27514,BOOK,NC,210470.84000000168
1007281,27514,ARTWORK,NC,210470.84000000168
1007349,27106,BOOK,NC,210470.84000000168
1007350,27106,BOOK,NC,210470.84000000168
1007559,28401,ARTWORK,NC,210470.84000000168
1007908,28036,BOOK,NC,210470.84000000168
1013201,28311,ARTWORK,NC,210470.84000000168
1013202,28311,ARTWORK,NC,210470.84000000168
1013237,28311,BOOK,NC,210470.84000000168
1013238,28311,BOOK,NC,210470.84000000168
1013286,28739,BOOK,NC,210470.84000000168
1013294,28405,ARTWORK,NC,210470.84000000168
