orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1096985,TW92A,BOOK,EN,1729.8500000000001
1254585,N17ON,ARTWORK,EN,1729.8500000000001
1254586,N17ON,FREEBIE,EN,1729.8500000000001
1425175,W87LB,ARTWORK,EN,1729.8500000000001
1608227,NSW24,ARTWORK,EN,1729.8500000000001
1707138,sw33p,CALENDAR,EN,1729.8500000000001
1849160,E161T,BOOK,EN,1729.8500000000001
1851179,E161T,ARTWORK,EN,1729.8500000000001
1010785,21401,ARTWORK,MD,421094.7300000149
1010789,21014,ARTWORK,MD,421094.7300000149
1011107,21204,BOOK,MD,421094.7300000149
1011181,20770,ARTWORK,MD,421094.7300000149
1011182,20770,BOOK,MD,421094.7300000149
1011220,20910,ARTWORK,MD,421094.7300000149
1011243,20910,OCCASION,MD,421094.7300000149
1011244,20910,OCCASION,MD,421094.7300000149
1011245,20910,OCCASION,MD,421094.7300000149
1011406,21209,ARTWORK,MD,421094.7300000149
1011483,20896,BOOK,MD,421094.7300000149
1011502,20782,BOOK,MD,421094.7300000149
1011672,21224,ARTWORK,MD,421094.7300000149
1011678,20817,BOOK,MD,421094.7300000149
1011741,21403,BOOK,MD,421094.7300000149
1011835,21224,BOOK,MD,421094.7300000149
1000106,21538,BOOK,MD,421094.7300000149
1000187,21703,ARTWORK,MD,421094.7300000149
1000192,21044,BOOK,MD,421094.7300000149
1000202,21704,BOOK,MD,421094.7300000149
1000324,20854,BOOK,MD,421094.7300000149
1000325,20854,BOOK,MD,421094.7300000149
1000391,21231,ARTWORK,MD,421094.7300000149
1000392,21231,OTHER,MD,421094.7300000149
1000496,21230,ARTWORK,MD,421094.7300000149
1000545,21802,BOOK,MD,421094.7300000149
1000564,21044,ARTWORK,MD,421094.7300000149
1000684,21212,BOOK,MD,421094.7300000149
1000812,21784,ARTWORK,MD,421094.7300000149
1000823,20901,ARTWORK,MD,421094.7300000149
1000932,20902,ARTWORK,MD,421094.7300000149
1000990,21215,OCCASION,MD,421094.7300000149
1001042,21035,BOOK,MD,421094.7300000149
1001085,21403,BOOK,MD,421094.7300000149
1001112,20815,ARTWORK,MD,421094.7300000149
1001128,21601,ARTWORK,MD,421094.7300000149
1001133,21206,BOOK,MD,421094.7300000149
1001135,20816,ARTWORK,MD,421094.7300000149
1001235,20904,ARTWORK,MD,421094.7300000149
1001303,20902,ARTWORK,MD,421094.7300000149
1001312,20814,OCCASION,MD,421094.7300000149
1001396,21136,OCCASION,MD,421094.7300000149
1001397,21136,ARTWORK,MD,421094.7300000149
1001398,21136,ARTWORK,MD,421094.7300000149
1001399,21136,OCCASION,MD,421094.7300000149
1001438,20707,ARTWORK,MD,421094.7300000149
1001453,20854,ARTWORK,MD,421094.7300000149
1001481,21401,ARTWORK,MD,421094.7300000149
1001484,20878,ARTWORK,MD,421094.7300000149
1001538,21117,ARTWORK,MD,421094.7300000149
1001683,21771,ARTWORK,MD,421094.7300000149
1001727,21214,BOOK,MD,421094.7300000149
1001849,20854,BOOK,MD,421094.7300000149
1001854,20817,BOOK,MD,421094.7300000149
1001890,20817,BOOK,MD,421094.7300000149
1001891,20817,BOOK,MD,421094.7300000149
1001892,20817,BOOK,MD,421094.7300000149
1001913,20817,ARTWORK,MD,421094.7300000149
1001914,20817,ARTWORK,MD,421094.7300000149
1001915,20817,ARTWORK,MD,421094.7300000149
1001916,20817,ARTWORK,MD,421094.7300000149
1001917,20817,ARTWORK,MD,421094.7300000149
1001929,20705,ARTWORK,MD,421094.7300000149
1001970,20910,BOOK,MD,421094.7300000149
1001989,21061,ARTWORK,MD,421094.7300000149
1002233,21108,ARTWORK,MD,421094.7300000149
1002617,21214,BOOK,MD,421094.7300000149
1011988,20816,BOOK,MD,421094.7300000149
1012143,21201,BOOK,MD,421094.7300000149
1012144,21502,ARTWORK,MD,421094.7300000149
1012150,20721,OCCASION,MD,421094.7300000149
1012254,21202,BOOK,MD,421094.7300000149
1012365,20912,BOOK,MD,421094.7300000149
1012462,20854,ARTWORK,MD,421094.7300000149
