orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1022132,34033,ARTWORK,AA,949.47
1022133,34033,ARTWORK,AA,949.47
1038065,34034,BOOK,AA,949.47
1045044,70736,OCCASION,AA,949.47
1069119,96675,OCCASION,AA,949.47
1069120,96675,BOOK,AA,949.47
1073254,180-0,ARTWORK,AA,949.47
1089991,34020,ARTWORK,AA,949.47
1761169,34041,ARTWORK,AA,949.47
1761170,34041,ARTWORK,AA,949.47
1862193,34002,BOOK,AA,949.47
1862194,34002,BOOK,AA,949.47
1921260,28010,APPAREL,AA,949.47
1921261,28010,APPAREL,AA,949.47
