orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010564,10707,BOOK,NY,2.367044943999785E7
1010567,10591,ARTWORK,NY,2.367044943999785E7
1010568,10512,ARTWORK,NY,2.367044943999785E7
1010569,10605,BOOK,NY,2.367044943999785E7
1010570,10605,BOOK,NY,2.367044943999785E7
1010571,10598,ARTWORK,NY,2.367044943999785E7
1010572,10598,BOOK,NY,2.367044943999785E7
1010573,10605,ARTWORK,NY,2.367044943999785E7
1010574,10970,ARTWORK,NY,2.367044943999785E7
1010581,12758,ARTWORK,NY,2.367044943999785E7
1010584,11801,BOOK,NY,2.367044943999785E7
1010586,10021,BOOK,NY,2.367044943999785E7
1010587,10021,BOOK,NY,2.367044943999785E7
1010588,10021,BOOK,NY,2.367044943999785E7
1010589,10021,BOOK,NY,2.367044943999785E7
1010591,10463,ARTWORK,NY,2.367044943999785E7
1010594,11746,ARTWORK,NY,2.367044943999785E7
1010597,10533,BOOK,NY,2.367044943999785E7
1010600,10012,OCCASION,NY,2.367044943999785E7
1010604,11365,BOOK,NY,2.367044943999785E7
1010605,10036,BOOK,NY,2.367044943999785E7
1010606,10024,BOOK,NY,2.367044943999785E7
1010607,10956,ARTWORK,NY,2.367044943999785E7
1010608,10956,BOOK,NY,2.367044943999785E7
1010609,10538,BOOK,NY,2.367044943999785E7
1010614,10985,ARTWORK,NY,2.367044943999785E7
1010615,10985,BOOK,NY,2.367044943999785E7
1010616,10985,BOOK,NY,2.367044943999785E7
1010617,12569,ARTWORK,NY,2.367044943999785E7
1010629,10514,ARTWORK,NY,2.367044943999785E7
1010631,10583,ARTWORK,NY,2.367044943999785E7
1010632,10583,ARTWORK,NY,2.367044943999785E7
1010634,11021,ARTWORK,NY,2.367044943999785E7
1010635,11021,ARTWORK,NY,2.367044943999785E7
1010644,10001,BOOK,NY,2.367044943999785E7
1010645,11963,BOOK,NY,2.367044943999785E7
1010647,14546,BOOK,NY,2.367044943999785E7
1010648,10538,OCCASION,NY,2.367044943999785E7
1010650,11234,OCCASION,NY,2.367044943999785E7
1010651,12443,BOOK,NY,2.367044943999785E7
1010652,12458,ARTWORK,NY,2.367044943999785E7
1010653,12458,BOOK,NY,2.367044943999785E7
1010666,10024,BOOK,NY,2.367044943999785E7
1010667,10024,OCCASION,NY,2.367044943999785E7
1010668,10583,BOOK,NY,2.367044943999785E7
1010673,11385,BOOK,NY,2.367044943999785E7
1010675,10019,ARTWORK,NY,2.367044943999785E7
1010676,10019,ARTWORK,NY,2.367044943999785E7
1010677,10019,ARTWORK,NY,2.367044943999785E7
