orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010583,19027,BOOK,PA,502321.450000024
1010661,19102,BOOK,PA,502321.450000024
1010696,19438,BOOK,PA,502321.450000024
1010697,19437,ARTWORK,PA,502321.450000024
1010698,19437,BOOK,PA,502321.450000024
1010729,19096,BOOK,PA,502321.450000024
1010730,18938,ARTWORK,PA,502321.450000024
1010731,18938,BOOK,PA,502321.450000024
1010732,19380,ARTWORK,PA,502321.450000024
1010733,19380,BOOK,PA,502321.450000024
1010758,19399,ARTWORK,PA,502321.450000024
1010809,15219,ARTWORK,PA,502321.450000024
1010879,18704,OCCASION,PA,502321.450000024
1010891,18704,OCCASION,PA,502321.450000024
1010892,18704,OCCASION,PA,502321.450000024
1010893,18704,OCCASION,PA,502321.450000024
1010894,18704,OCCASION,PA,502321.450000024
1010895,18704,OCCASION,PA,502321.450000024
1010924,19444,CALENDAR,PA,502321.450000024
1010961,19312,ARTWORK,PA,502321.450000024
1010985,17078,BOOK,PA,502321.450000024
1010986,19020,BOOK,PA,502321.450000024
1011050,19464,ARTWORK,PA,502321.450000024
1011051,19464,BOOK,PA,502321.450000024
1011156,19096,BOOK,PA,502321.450000024
1011258,15238,BOOK,PA,502321.450000024
1011295,19046,BOOK,PA,502321.450000024
1011327,15642,BOOK,PA,502321.450000024
1011355,15217,BOOK,PA,502321.450000024
1011420,18901,BOOK,PA,502321.450000024
1011421,18901,BOOK,PA,502321.450000024
1011441,19031,BOOK,PA,502321.450000024
1011486,19143,BOOK,PA,502321.450000024
1011525,19103,BOOK,PA,502321.450000024
1011532,17013,OTHER,PA,502321.450000024
1011543,17579,OTHER,PA,502321.450000024
1011552,18847,BOOK,PA,502321.450000024
1011661,19130,ARTWORK,PA,502321.450000024
1011662,19130,BOOK,PA,502321.450000024
1011669,15232,BOOK,PA,502321.450000024
1011670,15232,ARTWORK,PA,502321.450000024
1011830,18017,OCCASION,PA,502321.450000024
1011845,19317,ARTWORK,PA,502321.450000024
1011846,19317,BOOK,PA,502321.450000024
1011849,17110,ARTWORK,PA,502321.450000024
1011862,19107,BOOK,PA,502321.450000024
1011863,19107,ARTWORK,PA,502321.450000024
1011864,19107,BOOK,PA,502321.450000024
1000049,18424,BOOK,PA,502321.450000024
1000050,18424,ARTWORK,PA,502321.450000024
1000262,19105,BOOK,PA,502321.450000024
1000284,19083,OCCASION,PA,502321.450000024
1000285,19083,OCCASION,PA,502321.450000024
1000286,19083,OCCASION,PA,502321.450000024
1000291,19056,BOOK,PA,502321.450000024
1000300,19462,ARTWORK,PA,502321.450000024
1000301,19462,ARTWORK,PA,502321.450000024
1000302,19462,BOOK,PA,502321.450000024
1000303,19462,ARTWORK,PA,502321.450000024
1000312,15203,BOOK,PA,502321.450000024
1000313,15203,BOOK,PA,502321.450000024
1000314,15203,CALENDAR,PA,502321.450000024
1000356,19046,ARTWORK,PA,502321.450000024
1000361,19081,OCCASION,PA,502321.450000024
1000364,19119,OCCASION,PA,502321.450000024
1000365,19119,OCCASION,PA,502321.450000024
1000366,19119,OCCASION,PA,502321.450000024
1000402,18440,OCCASION,PA,502321.450000024
1000404,19085,BOOK,PA,502321.450000024
1000524,19118,BOOK,PA,502321.450000024
1000534,19035,OCCASION,PA,502321.450000024
1000553,17033,BOOK,PA,502321.450000024
1000567,19085,ARTWORK,PA,502321.450000024
1000611,19301,ARTWORK,PA,502321.450000024
1000645,19301,ARTWORK,PA,502321.450000024
1000670,18431,BOOK,PA,502321.450000024
1000729,18229,BOOK,PA,502321.450000024
1000730,17013,BOOK,PA,502321.450000024
1000741,19130,ARTWORK,PA,502321.450000024
1000742,19130,ARTWORK,PA,502321.450000024
1000743,19130,BOOK,PA,502321.450000024
1000745,18708,ARTWORK,PA,502321.450000024
1000779,17601,ARTWORK,PA,502321.450000024
1000841,18201,ARTWORK,PA,502321.450000024
1000849,15216,OCCASION,PA,502321.450000024
1000862,18938,BOOK,PA,502321.450000024
1000863,19087,BOOK,PA,502321.450000024
1000894,18966,BOOK,PA,502321.450000024
1000917,19066,OCCASION,PA,502321.450000024
1000918,19066,ARTWORK,PA,502321.450000024
1000919,19066,ARTWORK,PA,502321.450000024
1000948,17603,BOOK,PA,502321.450000024
1000949,17603,BOOK,PA,502321.450000024
1000950,17603,BOOK,PA,502321.450000024
1000951,17603,BOOK,PA,502321.450000024
1000952,17603,BOOK,PA,502321.450000024
1000954,19119,BOOK,PA,502321.450000024
1000974,19129,BOOK,PA,502321.450000024
1000975,19129,BOOK,PA,502321.450000024
1001028,19143,OCCASION,PA,502321.450000024
1001029,19143,OCCASION,PA,502321.450000024
1001030,19143,OCCASION,PA,502321.450000024
1001060,18702,FREEBIE,PA,502321.450000024
1001077,19551,BOOK,PA,502321.450000024
1001120,19064,OCCASION,PA,502321.450000024
1001139,19147,ARTWORK,PA,502321.450000024
1001168,18707,BOOK,PA,502321.450000024
1001239,19144,BOOK,PA,502321.450000024
1001289,18045,BOOK,PA,502321.450000024
1001290,18045,ARTWORK,PA,502321.450000024
1001292,19119,BOOK,PA,502321.450000024
1001293,19119,BOOK,PA,502321.450000024
1001294,19119,BOOK,PA,502321.450000024
1001323,18045,BOOK,PA,502321.450000024
1001389,19462,ARTWORK,PA,502321.450000024
1001416,19131,ARTWORK,PA,502321.450000024
1001417,19131,BOOK,PA,502321.450000024
1001423,19462,ARTWORK,PA,502321.450000024
1001452,19087,BOOK,PA,502321.450000024
1001466,16652,ARTWORK,PA,502321.450000024
1001497,19130,BOOK,PA,502321.450000024
1001512,18708,BOOK,PA,502321.450000024
1001537,17404,ARTWORK,PA,502321.450000024
1001550,19465,BOOK,PA,502321.450000024
1001578,19133,BOOK,PA,502321.450000024
1001587,19130,OCCASION,PA,502321.450000024
1001609,18447,OCCASION,PA,502321.450000024
1001610,18447,OCCASION,PA,502321.450000024
1001642,19355,BOOK,PA,502321.450000024
1001643,19355,ARTWORK,PA,502321.450000024
1001644,19355,ARTWORK,PA,502321.450000024
1001696,15228,BOOK,PA,502321.450000024
1001697,15228,BOOK,PA,502321.450000024
1001725,19095,BOOK,PA,502321.450000024
1001730,19047,ARTWORK,PA,502321.450000024
1001782,16508,ARTWORK,PA,502321.450000024
1001832,19081,OCCASION,PA,502321.450000024
1001881,19067,BOOK,PA,502321.450000024
1001896,19063,BOOK,PA,502321.450000024
1001906,18702,BOOK,PA,502321.450000024
1001907,18702,BOOK,PA,502321.450000024
1001908,18702,BOOK,PA,502321.450000024
1001909,18702,BOOK,PA,502321.450000024
1001935,19012,ARTWORK,PA,502321.450000024
1001997,19130,ARTWORK,PA,502321.450000024
1002010,17044,ARTWORK,PA,502321.450000024
1002016,15212,BOOK,PA,502321.450000024
1002127,18509,BOOK,PA,502321.450000024
1002162,17856,OCCASION,PA,502321.450000024
1002205,19144,OCCASION,PA,502321.450000024
1002206,19144,ARTWORK,PA,502321.450000024
1002207,19144,ARTWORK,PA,502321.450000024
1002225,16701,BOOK,PA,502321.450000024
1002256,18801,ARTWORK,PA,502321.450000024
1002267,19147,BOOK,PA,502321.450000024
1002288,19348,ARTWORK,PA,502321.450000024
1002306,19061,OCCASION,PA,502321.450000024
1002335,18840,ARTWORK,PA,502321.450000024
1002337,19107,BOOK,PA,502321.450000024
1002457,19087,ARTWORK,PA,502321.450000024
1002475,18414,BOOK,PA,502321.450000024
1002492,19146,ARTWORK,PA,502321.450000024
1002504,15217,ARTWORK,PA,502321.450000024
1002506,15301,OCCASION,PA,502321.450000024
1002525,17901,BOOK,PA,502321.450000024
1002537,19087,ARTWORK,PA,502321.450000024
1002540,19053,OCCASION,PA,502321.450000024
1002553,15238,ARTWORK,PA,502321.450000024
1002563,18901,ARTWORK,PA,502321.450000024
1002586,18848,ARTWORK,PA,502321.450000024
1002588,18915,ARTWORK,PA,502321.450000024
1002598,17055,ARTWORK,PA,502321.450000024
1011966,17601,OTHER,PA,502321.450000024
1011987,19363,BOOK,PA,502321.450000024
1011992,19020,BOOK,PA,502321.450000024
1012014,19002,BOOK,PA,502321.450000024
