orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010561,35222,BOOK,AL,2777480.060000047
1011587,35209,BOOK,AL,2777480.060000047
1001007,35213,ARTWORK,AL,2777480.060000047
1001977,35213,BOOK,AL,2777480.060000047
1012432,35226,BOOK,AL,2777480.060000047
1002747,36117,OCCASION,AL,2777480.060000047
1002748,36117,ARTWORK,AL,2777480.060000047
1004663,35205,ARTWORK,AL,2777480.060000047
1004664,35205,BOOK,AL,2777480.060000047
1004808,35243,ARTWORK,AL,2777480.060000047
1005110,35205,OCCASION,AL,2777480.060000047
1005111,35205,ARTWORK,AL,2777480.060000047
1005506,35806,BOOK,AL,2777480.060000047
1005997,35203,ARTWORK,AL,2777480.060000047
1005998,35203,ARTWORK,AL,2777480.060000047
1006290,36695,BOOK,AL,2777480.060000047
1006291,36695,ARTWORK,AL,2777480.060000047
1006340,35209,OCCASION,AL,2777480.060000047
1007217,35216,OTHER,AL,2777480.060000047
1007646,35205,BOOK,AL,2777480.060000047
1007647,35205,BOOK,AL,2777480.060000047
1007913,36104,ARTWORK,AL,2777480.060000047
1013616,36117,BOOK,AL,2777480.060000047
1013796,35801,OCCASION,AL,2777480.060000047
1007949,36695,BOOK,AL,2777480.060000047
1007950,36695,ARTWORK,AL,2777480.060000047
1008284,35259,ARTWORK,AL,2777480.060000047
1008805,35402,ARTWORK,AL,2777480.060000047
1009230,35203,BOOK,AL,2777480.060000047
1010560,35222,BOOK,AL,2777480.060000047
1015583,36693,ARTWORK,AL,2777480.060000047
1015755,36608,OCCASION,AL,2777480.060000047
1016642,35213,ARTWORK,AL,2777480.060000047
1017011,36561,BOOK,AL,2777480.060000047
1017836,36106,OCCASION,AL,2777480.060000047
1018605,35406,BOOK,AL,2777480.060000047
1018897,36830,OCCASION,AL,2777480.060000047
1019379,35801,CALENDAR,AL,2777480.060000047
1019413,35801,OTHER,AL,2777480.060000047
1019414,35801,BOOK,AL,2777480.060000047
1019768,35213,BOOK,AL,2777480.060000047
1019820,35125,OCCASION,AL,2777480.060000047
1021930,35201,BOOK,AL,2777480.060000047
1021931,35201,BOOK,AL,2777480.060000047
1021932,35201,BOOK,AL,2777480.060000047
1022127,36853,OCCASION,AL,2777480.060000047
1022137,35209,ARTWORK,AL,2777480.060000047
1022363,35222,BOOK,AL,2777480.060000047
1023629,35223,ARTWORK,AL,2777480.060000047
1023803,35203,ARTWORK,AL,2777480.060000047
1023804,35203,ARTWORK,AL,2777480.060000047
1023829,36532,FREEBIE,AL,2777480.060000047
1024821,36532,ARTWORK,AL,2777480.060000047
1025518,35244,BOOK,AL,2777480.060000047
1025519,35244,ARTWORK,AL,2777480.060000047
1026177,35901,BOOK,AL,2777480.060000047
1026178,35901,BOOK,AL,2777480.060000047
