orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010877,97504,OCCASION,OR,105880.48999999915
1011224,97221,BOOK,OR,105880.48999999915
1011259,97210,BOOK,OR,105880.48999999915
1011312,97222,ARTWORK,OR,105880.48999999915
1000326,97201,ARTWORK,OR,105880.48999999915
1000419,97214,BOOK,OR,105880.48999999915
1000456,97201,ARTWORK,OR,105880.48999999915
1001173,97401,BOOK,OR,105880.48999999915
1001439,97212,ARTWORK,OR,105880.48999999915
1001440,97212,BOOK,OR,105880.48999999915
1001441,97212,CALENDAR,OR,105880.48999999915
1001660,97210,ARTWORK,OR,105880.48999999915
1001933,97204,OCCASION,OR,105880.48999999915
1001934,97204,ARTWORK,OR,105880.48999999915
1002342,97202,OCCASION,OR,105880.48999999915
1002343,97202,OCCASION,OR,105880.48999999915
1002344,97202,BOOK,OR,105880.48999999915
1002345,97202,BOOK,OR,105880.48999999915
1002352,97330,BOOK,OR,105880.48999999915
1002533,97215,BOOK,OR,105880.48999999915
1002534,97215,BOOK,OR,105880.48999999915
1012664,97403,BOOK,OR,105880.48999999915
1002878,97209,ARTWORK,OR,105880.48999999915
1002887,97212,OCCASION,OR,105880.48999999915
1002888,97212,BOOK,OR,105880.48999999915
1002889,97212,BOOK,OR,105880.48999999915
1002890,97212,BOOK,OR,105880.48999999915
1002934,97306,BOOK,OR,105880.48999999915
1003060,97225,BOOK,OR,105880.48999999915
1003255,97019,BOOK,OR,105880.48999999915
1003341,97303,BOOK,OR,105880.48999999915
1003434,97201,CALENDAR,OR,105880.48999999915
1003885,97420,BOOK,OR,105880.48999999915
1003886,97420,BOOK,OR,105880.48999999915
1003887,97420,BOOK,OR,105880.48999999915
1004066,97231,ARTWORK,OR,105880.48999999915
1004067,97231,BOOK,OR,105880.48999999915
1004068,97376,BOOK,OR,105880.48999999915
1004155,97209,BOOK,OR,105880.48999999915
1004347,97302,ARTWORK,OR,105880.48999999915
1004402,97221,ARTWORK,OR,105880.48999999915
1004538,97211,ARTWORK,OR,105880.48999999915
1004639,97209,ARTWORK,OR,105880.48999999915
1004820,97202,ARTWORK,OR,105880.48999999915
1005218,97201,ARTWORK,OR,105880.48999999915
1005428,97219,BOOK,OR,105880.48999999915
1005429,97219,BOOK,OR,105880.48999999915
1005683,97035,ARTWORK,OR,105880.48999999915
1005684,97035,ARTWORK,OR,105880.48999999915
1006687,97201,OCCASION,OR,105880.48999999915
1006688,97201,OCCASION,OR,105880.48999999915
1007387,97210,BOOK,OR,105880.48999999915
1013299,97206,ARTWORK,OR,105880.48999999915
1013501,97212,ARTWORK,OR,105880.48999999915
1013507,97223,OCCASION,OR,105880.48999999915
1013794,97465,BOOK,OR,105880.48999999915
