orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010750,64111,ARTWORK,MO,128482.15999999901
1010751,64111,ARTWORK,MO,128482.15999999901
1010875,64153,OCCASION,MO,128482.15999999901
1011209,65102,BOOK,MO,128482.15999999901
1011318,63017,ARTWORK,MO,128482.15999999901
1011319,63017,ARTWORK,MO,128482.15999999901
1011422,63112,ARTWORK,MO,128482.15999999901
1000058,63017,ARTWORK,MO,128482.15999999901
1000198,65279,BOOK,MO,128482.15999999901
1000199,65279,BOOK,MO,128482.15999999901
1000268,63124,ARTWORK,MO,128482.15999999901
1000311,63021,ARTWORK,MO,128482.15999999901
1000334,63021,BOOK,MO,128482.15999999901
1000336,63122,ARTWORK,MO,128482.15999999901
1000380,63132,ARTWORK,MO,128482.15999999901
1000381,63132,ARTWORK,MO,128482.15999999901
1000384,64735,ARTWORK,MO,128482.15999999901
1000387,63105,ARTWORK,MO,128482.15999999901
1000470,63105,ARTWORK,MO,128482.15999999901
1000618,65401,ARTWORK,MO,128482.15999999901
1000619,65401,ARTWORK,MO,128482.15999999901
1000620,65401,ARTWORK,MO,128482.15999999901
1000778,64113,ARTWORK,MO,128482.15999999901
1000958,63122,ARTWORK,MO,128482.15999999901
1000967,63105,ARTWORK,MO,128482.15999999901
1001005,63011,ARTWORK,MO,128482.15999999901
1001103,63021,OCCASION,MO,128482.15999999901
1001184,63105,ARTWORK,MO,128482.15999999901
1001233,63144,ARTWORK,MO,128482.15999999901
1001869,63124,ARTWORK,MO,128482.15999999901
1002112,63122,ARTWORK,MO,128482.15999999901
1002113,63122,ARTWORK,MO,128482.15999999901
1002114,63122,ARTWORK,MO,128482.15999999901
1002215,63116,ARTWORK,MO,128482.15999999901
1002216,63116,BOOK,MO,128482.15999999901
1002250,63005,ARTWORK,MO,128482.15999999901
1002266,64111,OCCASION,MO,128482.15999999901
1002280,63129,BOOK,MO,128482.15999999901
1002281,63129,ARTWORK,MO,128482.15999999901
1002282,63129,ARTWORK,MO,128482.15999999901
1002283,63129,OCCASION,MO,128482.15999999901
1002305,65201,BOOK,MO,128482.15999999901
1002327,65203,ARTWORK,MO,128482.15999999901
1002394,64112,BOOK,MO,128482.15999999901
1002446,63119,BOOK,MO,128482.15999999901
1011883,63141,BOOK,MO,128482.15999999901
1012434,63130,OCCASION,MO,128482.15999999901
1012435,63130,ARTWORK,MO,128482.15999999901
1012793,63104,ARTWORK,MO,128482.15999999901
1012803,63122,BOOK,MO,128482.15999999901
1012804,63122,BOOK,MO,128482.15999999901
1012864,65201,BOOK,MO,128482.15999999901
1013015,63122,OCCASION,MO,128482.15999999901
1013048,63130,OCCASION,MO,128482.15999999901
1002845,63116,ARTWORK,MO,128482.15999999901
1002946,63105,ARTWORK,MO,128482.15999999901
1003041,65203,BOOK,MO,128482.15999999901
1003107,64118,BOOK,MO,128482.15999999901
1003139,63130,ARTWORK,MO,128482.15999999901
1003242,63122,BOOK,MO,128482.15999999901
1003315,63011,ARTWORK,MO,128482.15999999901
1003355,63122,ARTWORK,MO,128482.15999999901
1003418,64112,ARTWORK,MO,128482.15999999901
1003602,63124,BOOK,MO,128482.15999999901
1003669,63141,ARTWORK,MO,128482.15999999901
1003712,63132,ARTWORK,MO,128482.15999999901
1003941,63132,ARTWORK,MO,128482.15999999901
1003942,63132,ARTWORK,MO,128482.15999999901
1003943,63132,ARTWORK,MO,128482.15999999901
1003944,63132,ARTWORK,MO,128482.15999999901
1003945,63132,ARTWORK,MO,128482.15999999901
1004128,63122,ARTWORK,MO,128482.15999999901
1004234,63105,BOOK,MO,128482.15999999901
1004235,63105,BOOK,MO,128482.15999999901
1004254,63141,ARTWORK,MO,128482.15999999901
1004298,64114,ARTWORK,MO,128482.15999999901
1004307,63132,ARTWORK,MO,128482.15999999901
1004746,64118,ARTWORK,MO,128482.15999999901
1004748,63021,ARTWORK,MO,128482.15999999901
1004749,63104,ARTWORK,MO,128482.15999999901
1004979,63011,ARTWORK,MO,128482.15999999901
1005076,63119,ARTWORK,MO,128482.15999999901
1005099,63011,ARTWORK,MO,128482.15999999901
1005120,63301,BOOK,MO,128482.15999999901
1005265,64106,OCCASION,MO,128482.15999999901
1005266,64106,OCCASION,MO,128482.15999999901
1005361,63130,ARTWORK,MO,128482.15999999901
1005650,63366,ARTWORK,MO,128482.15999999901
1005781,63130,ARTWORK,MO,128482.15999999901
1005828,63130,OCCASION,MO,128482.15999999901
1005829,63130,ARTWORK,MO,128482.15999999901
1005830,63130,ARTWORK,MO,128482.15999999901
1005839,63303,OCCASION,MO,128482.15999999901
1005851,63303,ARTWORK,MO,128482.15999999901
1005975,63011,BOOK,MO,128482.15999999901
1006213,63117,ARTWORK,MO,128482.15999999901
1006359,63122,BOOK,MO,128482.15999999901
1006360,63122,BOOK,MO,128482.15999999901
1006454,63117,ARTWORK,MO,128482.15999999901
1006523,64105,ARTWORK,MO,128482.15999999901
1006553,63130,ARTWORK,MO,128482.15999999901
1006610,64501,BOOK,MO,128482.15999999901
1007027,63005,OCCASION,MO,128482.15999999901
1007394,63124,ARTWORK,MO,128482.15999999901
1007859,63701,BOOK,MO,128482.15999999901
1014053,63108,OTHER,MO,128482.15999999901
1014212,63112,ARTWORK,MO,128482.15999999901
1014213,63112,ARTWORK,MO,128482.15999999901
1007956,63124,BOOK,MO,128482.15999999901
1007984,64113,ARTWORK,MO,128482.15999999901
1008003,64111,BOOK,MO,128482.15999999901
1008056,64101,BOOK,MO,128482.15999999901
1008057,64101,BOOK,MO,128482.15999999901
1008898,64113,ARTWORK,MO,128482.15999999901
1009029,63122,ARTWORK,MO,128482.15999999901
1009142,65203,OCCASION,MO,128482.15999999901
1009176,65203,ARTWORK,MO,128482.15999999901
1009269,65101,BOOK,MO,128482.15999999901
1009270,65101,BOOK,MO,128482.15999999901
1009271,63303,BOOK,MO,128482.15999999901
1009622,63017,ARTWORK,MO,128482.15999999901
1009763,63141,ARTWORK,MO,128482.15999999901
1009783,63119,ARTWORK,MO,128482.15999999901
1009804,64105,BOOK,MO,128482.15999999901
1009805,64105,BOOK,MO,128482.15999999901
1010053,63109,ARTWORK,MO,128482.15999999901
1010138,63131,ARTWORK,MO,128482.15999999901
1010139,63131,ARTWORK,MO,128482.15999999901
1014859,63017,OTHER,MO,128482.15999999901
1014909,64113,BOOK,MO,128482.15999999901
1016284,63119,ARTWORK,MO,128482.15999999901
1016442,63119,OCCASION,MO,128482.15999999901
1016967,63130,OCCASION,MO,128482.15999999901
1017195,63105,ARTWORK,MO,128482.15999999901
1017258,65265,OCCASION,MO,128482.15999999901
1017265,63130,BOOK,MO,128482.15999999901
1017266,63130,BOOK,MO,128482.15999999901
1017810,63130,ARTWORK,MO,128482.15999999901
1017811,63130,BOOK,MO,128482.15999999901
1017812,63130,BOOK,MO,128482.15999999901
1017813,63130,BOOK,MO,128482.15999999901
1017814,63130,ARTWORK,MO,128482.15999999901
1017832,63130,OCCASION,MO,128482.15999999901
1018593,65101,OCCASION,MO,128482.15999999901
1018690,63038,OCCASION,MO,128482.15999999901
1019686,63130,ARTWORK,MO,128482.15999999901
1020037,63105,ARTWORK,MO,128482.15999999901
1020038,63105,ARTWORK,MO,128482.15999999901
1020162,63102,OCCASION,MO,128482.15999999901
1020163,63033,OCCASION,MO,128482.15999999901
1020947,63141,OTHER,MO,128482.15999999901
1020948,63141,BOOK,MO,128482.15999999901
1021009,63104,ARTWORK,MO,128482.15999999901
1021010,63104,ARTWORK,MO,128482.15999999901
1021011,63104,BOOK,MO,128482.15999999901
1021102,63501,ARTWORK,MO,128482.15999999901
1021173,63117,BOOK,MO,128482.15999999901
1021450,63017,BOOK,MO,128482.15999999901
1022296,63005,ARTWORK,MO,128482.15999999901
1022341,64491,BOOK,MO,128482.15999999901
1022357,64105,BOOK,MO,128482.15999999901
1022750,63026,ARTWORK,MO,128482.15999999901
1023203,63108,OCCASION,MO,128482.15999999901
1023339,63105,BOOK,MO,128482.15999999901
1023440,63122,ARTWORK,MO,128482.15999999901
1023751,63124,BOOK,MO,128482.15999999901
1024165,63132,ARTWORK,MO,128482.15999999901
1024970,63139,BOOK,MO,128482.15999999901
1025100,63122,BOOK,MO,128482.15999999901
1025101,63122,BOOK,MO,128482.15999999901
1026121,65738,ARTWORK,MO,128482.15999999901
1026353,63130,OCCASION,MO,128482.15999999901
1026354,63130,ARTWORK,MO,128482.15999999901
1026355,63130,ARTWORK,MO,128482.15999999901
1026356,63130,OCCASION,MO,128482.15999999901
1026466,65102,BOOK,MO,128482.15999999901
1026467,65102,CALENDAR,MO,128482.15999999901
1026468,65102,BOOK,MO,128482.15999999901
1026490,65102,BOOK,MO,128482.15999999901
1026680,63108,ARTWORK,MO,128482.15999999901
1026681,63108,ARTWORK,MO,128482.15999999901
1026712,63108,ARTWORK,MO,128482.15999999901
1026770,63011,BOOK,MO,128482.15999999901
1026826,63122,ARTWORK,MO,128482.15999999901
1027158,63104,BOOK,MO,128482.15999999901
1027211,64101,BOOK,MO,128482.15999999901
1027212,64101,BOOK,MO,128482.15999999901
1027213,64101,OTHER,MO,128482.15999999901
