orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1000581,1287,ARTWORK,"",173463.28000000096
1001726,04000,ARTWORK,"",173463.28000000096
1002062,458-0,OCCASION,"",173463.28000000096
1002091,167-0,OCCASION,"",173463.28000000096
1002092,675-0,OCCASION,"",173463.28000000096
1002093,193-0,OCCASION,"",173463.28000000096
1002539,ENGLA,OTHER,"",173463.28000000096
1012792,00000,ARTWORK,"",173463.28000000096
1012859,"",BOOK,"",173463.28000000096
1012950,LS82S,ARTWORK,"",173463.28000000096
1002828,0,ARTWORK,"",173463.28000000096
1003303,BAHAM,BOOK,"",173463.28000000096
1003304,BAHAM,BOOK,"",173463.28000000096
1003338,BAHAM,BOOK,"",173463.28000000096
1003511,"",BOOK,"",173463.28000000096
1004879,14300,OCCASION,"",173463.28000000096
1005345,33180,OCCASION,"",173463.28000000096
1005618,62481,BOOK,"",173463.28000000096
1013886,NE391,ARTWORK,"",173463.28000000096
1009791,JAPAN,OCCASION,"",173463.28000000096
1010405,NSW 2,ARTWORK,"",173463.28000000096
1014874,SW156,BOOK,"",173463.28000000096
1014875,SW156,BOOK,"",173463.28000000096
1015303,N169L,BOOK,"",173463.28000000096
1016845,00196,BOOK,"",173463.28000000096
1017419,BERMU,BOOK,"",173463.28000000096
1017420,BERMU,BOOK,"",173463.28000000096
1018122,GERMA,ARTWORK,"",173463.28000000096
1018123,GERMA,ARTWORK,"",173463.28000000096
1018202,"",OTHER,"",173463.28000000096
1018203,"",CALENDAR,"",173463.28000000096
1018204,"",BOOK,"",173463.28000000096
1018205,"",ARTWORK,"",173463.28000000096
1018745,75017,ARTWORK,"",173463.28000000096
1019003,CB124,BOOK,"",173463.28000000096
1019343,N195H,OCCASION,"",173463.28000000096
1021143,"",ARTWORK,"",173463.28000000096
1021359,97074,OCCASION,"",173463.28000000096
1021827,1204,OTHER,"",173463.28000000096
1022176,SWITZ,BOOK,"",173463.28000000096
