orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1011438,72959,BOOK,AR,15049.410000000056
1002270,72212,BOOK,AR,15049.410000000056
1003423,72223,BOOK,AR,15049.410000000056
1003424,72223,ARTWORK,AR,15049.410000000056
1005662,71913,OTHER,AR,15049.410000000056
1006183,72205,BOOK,AR,15049.410000000056
1013509,72761,OCCASION,AR,15049.410000000056
1009539,72205,OCCASION,AR,15049.410000000056
1009665,72202,OCCASION,AR,15049.410000000056
1017196,72207,BOOK,AR,15049.410000000056
1020205,72223,OCCASION,AR,15049.410000000056
1022762,72015,ARTWORK,AR,15049.410000000056
1023181,71730,OCCASION,AR,15049.410000000056
1025707,72918,BOOK,AR,15049.410000000056
1025708,72918,BOOK,AR,15049.410000000056
1025709,72918,BOOK,AR,15049.410000000056
1027169,72207,ARTWORK,AR,15049.410000000056
1027979,72701,BOOK,AR,15049.410000000056
1027997,72205,BOOK,AR,15049.410000000056
1037470,71901,ARTWORK,AR,15049.410000000056
1037476,72455,ARTWORK,AR,15049.410000000056
1037517,72303,ARTWORK,AR,15049.410000000056
1037849,71913,ARTWORK,AR,15049.410000000056
1041310,71923,OCCASION,AR,15049.410000000056
1041589,72447,ARTWORK,AR,15049.410000000056
1041714,72043,OCCASION,AR,15049.410000000056
1042027,72205,ARTWORK,AR,15049.410000000056
1044149,72220,OCCASION,AR,15049.410000000056
1046006,75504,OTHER,AR,15049.410000000056
1046575,72211,ARTWORK,AR,15049.410000000056
1048505,72927,GAME,AR,15049.410000000056
1052842,72207,BOOK,AR,15049.410000000056
1053451,72205,BOOK,AR,15049.410000000056
1056067,75504,ARTWORK,AR,15049.410000000056
1056068,75504,ARTWORK,AR,15049.410000000056
1056069,75504,ARTWORK,AR,15049.410000000056
1056070,75504,ARTWORK,AR,15049.410000000056
1056071,75504,OCCASION,AR,15049.410000000056
1056072,75504,OCCASION,AR,15049.410000000056
1059064,71730,BOOK,AR,15049.410000000056
1060569,72211,CALENDAR,AR,15049.410000000056
1063049,72207,BOOK,AR,15049.410000000056
1063238,72227,OCCASION,AR,15049.410000000056
1064059,72209,ARTWORK,AR,15049.410000000056
1064060,72209,ARTWORK,AR,15049.410000000056
1067667,72207,BOOK,AR,15049.410000000056
1070295,72207,ARTWORK,AR,15049.410000000056
1074701,72223,BOOK,AR,15049.410000000056
1074702,72223,BOOK,AR,15049.410000000056
1074703,72223,BOOK,AR,15049.410000000056
1074760,72205,BOOK,AR,15049.410000000056
1074904,72207,OCCASION,AR,15049.410000000056
1077703,72034,BOOK,AR,15049.410000000056
1077704,72034,BOOK,AR,15049.410000000056
1079094,72762,ARTWORK,AR,15049.410000000056
1079095,72762,ARTWORK,AR,15049.410000000056
1084112,71762,OCCASION,AR,15049.410000000056
1084315,72211,CALENDAR,AR,15049.410000000056
1084316,72211,CALENDAR,AR,15049.410000000056
1084317,72211,BOOK,AR,15049.410000000056
1084351,72211,CALENDAR,AR,15049.410000000056
1086523,72118,ARTWORK,AR,15049.410000000056
1086524,72118,APPAREL,AR,15049.410000000056
1087158,72201,BOOK,AR,15049.410000000056
1087159,72201,BOOK,AR,15049.410000000056
