orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1015219,96546,BOOK,AP,1922.920000000001
1015220,96546,ARTWORK,AP,1922.920000000001
1044310,26920,OTHER,AP,1922.920000000001
1044311,26920,OTHER,AP,1922.920000000001
1044312,26920,BOOK,AP,1922.920000000001
1058040,96367,GAME,AP,1922.920000000001
1058079,96932,BOOK,AP,1922.920000000001
1058080,96932,CALENDAR,AP,1922.920000000001
1059103,96337,BOOK,AP,1922.920000000001
1086500,96338,GAME,AP,1922.920000000001
1086501,96338,GAME,AP,1922.920000000001
1099602,96326,ARTWORK,AP,1922.920000000001
1106662,96204,GAME,AP,1922.920000000001
1107022,96338,GAME,AP,1922.920000000001
1108692,96349,BOOK,AP,1922.920000000001
1309428,96204,GAME,AP,1922.920000000001
1309429,96204,GAME,AP,1922.920000000001
1309430,96204,GAME,AP,1922.920000000001
1309431,96204,GAME,AP,1922.920000000001
1309432,96204,GAME,AP,1922.920000000001
1309433,96204,GAME,AP,1922.920000000001
1309434,96204,GAME,AP,1922.920000000001
1309457,96204,GAME,AP,1922.920000000001
1309458,96204,GAME,AP,1922.920000000001
1309459,96204,GAME,AP,1922.920000000001
1309460,96204,FREEBIE,AP,1922.920000000001
1493139,96546,GAME,AP,1922.920000000001
1493140,96546,GAME,AP,1922.920000000001
1493141,96546,GAME,AP,1922.920000000001
1493142,96546,GAME,AP,1922.920000000001
1493143,96546,GAME,AP,1922.920000000001
1493144,96546,GAME,AP,1922.920000000001
1493145,96546,GAME,AP,1922.920000000001
1493146,96546,FREEBIE,AP,1922.920000000001
1493147,96546,FREEBIE,AP,1922.920000000001
1507150,96362,BOOK,AP,1922.920000000001
1507257,96362,FREEBIE,AP,1922.920000000001
1671143,96546,OTHER,AP,1922.920000000001
1691334,96202,BOOK,AP,1922.920000000001
1773126,96205,BOOK,AP,1922.920000000001
1773127,96205,BOOK,AP,1922.920000000001
1773128,96205,BOOK,AP,1922.920000000001
1873152,310,OTHER,AP,1922.920000000001
1873153,310,CALENDAR,AP,1922.920000000001
1873154,310,APPAREL,AP,1922.920000000001
1875119,310,OTHER,AP,1922.920000000001
1921191,28028,APPAREL,AP,1922.920000000001
1921192,28028,OTHER,AP,1922.920000000001
1971234,79038,OTHER,AP,1922.920000000001
1971235,79038,APPAREL,AP,1922.920000000001
1006545,A1A3H,ARTWORK,NF,432.2
1047631,A1E3R,CALENDAR,NF,432.2
1057062,A1C5P,CALENDAR,NF,432.2
1085334,07047,APPAREL,NF,432.2
1085335,07047,APPAREL,NF,432.2
1104206,A1C6H,OCCASION,NF,432.2
1108755,A1A4W,APPAREL,NF,432.2
1118129,A1E2T,APPAREL,NF,432.2
1135422,A1E4Y,GAME,NF,432.2
1135580,A1S1G,BOOK,NF,432.2
1137219,A1B3X,APPAREL,NF,432.2
1235393,A1C6H,GAME,NF,432.2
1235394,A1C6H,FREEBIE,NF,432.2
1235395,A1C6H,FREEBIE,NF,432.2
1711134,A1C-6,BOOK,NF,432.2
1711214,A1C-6,BOOK,NF,432.2
1714136,A1C-6,BOOK,NF,432.2
1790137,A1M3E,ARTWORK,NF,432.2
1888145,A1G1K,BOOK,NF,432.2
1913152,A1C6H,APPAREL,NF,432.2
