orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010565,07035,ARTWORK,NJ,4075589.660000896
1010566,07035,BOOK,NJ,4075589.660000896
1010579,07013,OCCASION,NJ,4075589.660000896
1010580,08402,ARTWORK,NJ,4075589.660000896
1010585,07513,CALENDAR,NJ,4075589.660000896
1010593,07631,ARTWORK,NJ,4075589.660000896
1010596,07054,ARTWORK,NJ,4075589.660000896
1010602,07016,BOOK,NJ,4075589.660000896
1010603,07016,BOOK,NJ,4075589.660000896
1010610,07042,ARTWORK,NJ,4075589.660000896
1010611,07042,BOOK,NJ,4075589.660000896
1010612,07087,ARTWORK,NJ,4075589.660000896
1010613,07087,BOOK,NJ,4075589.660000896
1010618,07513,CALENDAR,NJ,4075589.660000896
1010619,07513,CALENDAR,NJ,4075589.660000896
1010620,07513,CALENDAR,NJ,4075589.660000896
1010621,07513,CALENDAR,NJ,4075589.660000896
1010622,07724,BOOK,NJ,4075589.660000896
1010636,08401,OCCASION,NJ,4075589.660000896
1010643,07090,OCCASION,NJ,4075589.660000896
1010649,08525,BOOK,NJ,4075589.660000896
1010662,07748,ARTWORK,NJ,4075589.660000896
1010670,07739,BOOK,NJ,4075589.660000896
1010671,07739,BOOK,NJ,4075589.660000896
1010674,07302,OCCASION,NJ,4075589.660000896
1010695,07748,BOOK,NJ,4075589.660000896
1010699,08008,BOOK,NJ,4075589.660000896
1010700,08008,BOOK,NJ,4075589.660000896
1010701,07661,ARTWORK,NJ,4075589.660000896
1010702,07661,BOOK,NJ,4075589.660000896
1010703,07661,BOOK,NJ,4075589.660000896
1010709,08540,ARTWORK,NJ,4075589.660000896
1010712,08721,ARTWORK,NJ,4075589.660000896
1010713,07642,BOOK,NJ,4075589.660000896
1010719,08540,ARTWORK,NJ,4075589.660000896
1010726,07666,ARTWORK,NJ,4075589.660000896
1010727,07666,ARTWORK,NJ,4075589.660000896
1010740,07446,ARTWORK,NJ,4075589.660000896
1010746,07043,BOOK,NJ,4075589.660000896
1010749,07666,ARTWORK,NJ,4075589.660000896
1010757,07065,ARTWORK,NJ,4075589.660000896
1010765,08540,BOOK,NJ,4075589.660000896
1010766,08540,ARTWORK,NJ,4075589.660000896
1010767,08540,ARTWORK,NJ,4075589.660000896
1010768,08540,BOOK,NJ,4075589.660000896
1010769,08540,OCCASION,NJ,4075589.660000896
1010793,07601,ARTWORK,NJ,4075589.660000896
1010808,07087,ARTWORK,NJ,4075589.660000896
1010819,08742,BOOK,NJ,4075589.660000896
1010820,08742,BOOK,NJ,4075589.660000896
1010826,07024,ARTWORK,NJ,4075589.660000896
1010827,07024,BOOK,NJ,4075589.660000896
1010862,07410,ARTWORK,NJ,4075589.660000896
1010863,07410,BOOK,NJ,4075589.660000896
1010884,07480,ARTWORK,NJ,4075589.660000896
1010885,07480,BOOK,NJ,4075589.660000896
1010888,07030,ARTWORK,NJ,4075589.660000896
1010889,07030,BOOK,NJ,4075589.660000896
1010890,07030,ARTWORK,NJ,4075589.660000896
1010899,07920,ARTWORK,NJ,4075589.660000896
1010900,07750,CALENDAR,NJ,4075589.660000896
1010912,07030,ARTWORK,NJ,4075589.660000896
1010913,07030,BOOK,NJ,4075589.660000896
1010914,07481,ARTWORK,NJ,4075589.660000896
1010923,07039,OCCASION,NJ,4075589.660000896
1010927,07094,ARTWORK,NJ,4075589.660000896
1010968,07040,BOOK,NJ,4075589.660000896
1010970,07726,BOOK,NJ,4075589.660000896
1010974,07050,BOOK,NJ,4075589.660000896
1010980,07070,ARTWORK,NJ,4075589.660000896
1010981,07070,BOOK,NJ,4075589.660000896
1010982,07070,BOOK,NJ,4075589.660000896
1010983,07070,BOOK,NJ,4075589.660000896
1010984,07070,OCCASION,NJ,4075589.660000896
1010997,07728,CALENDAR,NJ,4075589.660000896
1011012,07960,ARTWORK,NJ,4075589.660000896
1011013,07960,BOOK,NJ,4075589.660000896
1011014,07960,ARTWORK,NJ,4075589.660000896
1011015,07960,BOOK,NJ,4075589.660000896
1011024,07869,CALENDAR,NJ,4075589.660000896
1011030,07043,ARTWORK,NJ,4075589.660000896
1011044,07607,BOOK,NJ,4075589.660000896
1011049,07950,BOOK,NJ,4075589.660000896
1011053,07746,BOOK,NJ,4075589.660000896
1011057,07030,ARTWORK,NJ,4075589.660000896
1011065,07081,ARTWORK,NJ,4075589.660000896
1011066,07081,ARTWORK,NJ,4075589.660000896
1011077,07632,BOOK,NJ,4075589.660000896
1011078,08638,BOOK,NJ,4075589.660000896
1011100,07632,BOOK,NJ,4075589.660000896
1011137,07461,BOOK,NJ,4075589.660000896
1011140,07045,OCCASION,NJ,4075589.660000896
1011143,08812,BOOK,NJ,4075589.660000896
1011144,08812,BOOK,NJ,4075589.660000896
1011152,08904,BOOK,NJ,4075589.660000896
1011159,07960,ARTWORK,NJ,4075589.660000896
1011160,07960,ARTWORK,NJ,4075589.660000896
1011183,07095,ARTWORK,NJ,4075589.660000896
1011193,07631,ARTWORK,NJ,4075589.660000896
1011253,07748,ARTWORK,NJ,4075589.660000896
1011267,07036,BOOK,NJ,4075589.660000896
1011268,07036,BOOK,NJ,4075589.660000896
1011269,07076,BOOK,NJ,4075589.660000896
1011270,07076,BOOK,NJ,4075589.660000896
1011272,07036,BOOK,NJ,4075589.660000896
1011277,07450,ARTWORK,NJ,4075589.660000896
1011278,07450,ARTWORK,NJ,4075589.660000896
1011279,07450,ARTWORK,NJ,4075589.660000896
1011280,07450,ARTWORK,NJ,4075589.660000896
1011301,07866,BOOK,NJ,4075589.660000896
1011304,07950,BOOK,NJ,4075589.660000896
1011325,07058,ARTWORK,NJ,4075589.660000896
1011332,07432,OTHER,NJ,4075589.660000896
1011333,07432,OCCASION,NJ,4075589.660000896
1011336,07078,BOOK,NJ,4075589.660000896
1011346,07002,ARTWORK,NJ,4075589.660000896
1011347,07002,ARTWORK,NJ,4075589.660000896
1011354,08820,BOOK,NJ,4075589.660000896
1011360,07042,OCCASION,NJ,4075589.660000896
1011394,07728,ARTWORK,NJ,4075589.660000896
1011401,07078,ARTWORK,NJ,4075589.660000896
1011402,07078,BOOK,NJ,4075589.660000896
1011403,07078,BOOK,NJ,4075589.660000896
1011407,07901,BOOK,NJ,4075589.660000896
1011415,07501,ARTWORK,NJ,4075589.660000896
1011416,07078,BOOK,NJ,4075589.660000896
1011426,07470,BOOK,NJ,4075589.660000896
1011430,07052,ARTWORK,NJ,4075589.660000896
1011434,07110,BOOK,NJ,4075589.660000896
1011435,07110,ARTWORK,NJ,4075589.660000896
1011451,08902,BOOK,NJ,4075589.660000896
1011463,08080,BOOK,NJ,4075589.660000896
1011465,07747,CALENDAR,NJ,4075589.660000896
1011470,07979,ARTWORK,NJ,4075589.660000896
1011473,07666,BOOK,NJ,4075589.660000896
1011474,07666,CALENDAR,NJ,4075589.660000896
1011500,07450,BOOK,NJ,4075589.660000896
1011501,07450,BOOK,NJ,4075589.660000896
1011504,07661,BOOK,NJ,4075589.660000896
1011529,08807,ARTWORK,NJ,4075589.660000896
1011539,07652,BOOK,NJ,4075589.660000896
1011540,07652,ARTWORK,NJ,4075589.660000896
1011541,07652,BOOK,NJ,4075589.660000896
1011557,08865,ARTWORK,NJ,4075589.660000896
1011571,07630,BOOK,NJ,4075589.660000896
1011575,08045,OCCASION,NJ,4075589.660000896
1011577,07093,OCCASION,NJ,4075589.660000896
1011578,07024,BOOK,NJ,4075589.660000896
1011579,07024,BOOK,NJ,4075589.660000896
1011580,07502,ARTWORK,NJ,4075589.660000896
1011581,07502,BOOK,NJ,4075589.660000896
1011586,07631,BOOK,NJ,4075589.660000896
1011595,08520,ARTWORK,NJ,4075589.660000896
1011603,07450,BOOK,NJ,4075589.660000896
1011604,07450,ARTWORK,NJ,4075589.660000896
1011618,07450,ARTWORK,NJ,4075589.660000896
1011619,07869,ARTWORK,NJ,4075589.660000896
1011623,07405,BOOK,NJ,4075589.660000896
1011625,07830,BOOK,NJ,4075589.660000896
1011629,07647,ARTWORK,NJ,4075589.660000896
1011630,07647,ARTWORK,NJ,4075589.660000896
1011636,07044,BOOK,NJ,4075589.660000896
1011637,07044,BOOK,NJ,4075589.660000896
1011638,08540,BOOK,NJ,4075589.660000896
1011639,08540,BOOK,NJ,4075589.660000896
1011646,08833,ARTWORK,NJ,4075589.660000896
1011654,07661,BOOK,NJ,4075589.660000896
1011658,07876,BOOK,NJ,4075589.660000896
1011668,07960,BOOK,NJ,4075589.660000896
1011674,07652,ARTWORK,NJ,4075589.660000896
1011675,07652,ARTWORK,NJ,4075589.660000896
1011676,07652,ARTWORK,NJ,4075589.660000896
1011677,07652,ARTWORK,NJ,4075589.660000896
1011687,07093,BOOK,NJ,4075589.660000896
1011705,07452,BOOK,NJ,4075589.660000896
1011729,07052,BOOK,NJ,4075589.660000896
1011747,07054,BOOK,NJ,4075589.660000896
1011751,07481,BOOK,NJ,4075589.660000896
1011752,07481,BOOK,NJ,4075589.660000896
1011753,07666,BOOK,NJ,4075589.660000896
1011754,07748,OTHER,NJ,4075589.660000896
1011755,07748,CALENDAR,NJ,4075589.660000896
1011756,07748,CALENDAR,NJ,4075589.660000896
1011757,07605,BOOK,NJ,4075589.660000896
1011768,07670,ARTWORK,NJ,4075589.660000896
1011773,07010,BOOK,NJ,4075589.660000896
1011776,07649,BOOK,NJ,4075589.660000896
1011788,07024,BOOK,NJ,4075589.660000896
1011802,07928,BOOK,NJ,4075589.660000896
1011803,07928,BOOK,NJ,4075589.660000896
1011810,08822,BOOK,NJ,4075589.660000896
1011816,07503,ARTWORK,NJ,4075589.660000896
1011819,07450,BOOK,NJ,4075589.660000896
1011820,07450,BOOK,NJ,4075589.660000896
1011837,07047,BOOK,NJ,4075589.660000896
1011844,07470,ARTWORK,NJ,4075589.660000896
1011859,07059,BOOK,NJ,4075589.660000896
1011861,07407,BOOK,NJ,4075589.660000896
1011865,07470,BOOK,NJ,4075589.660000896
1011866,08077,ARTWORK,NJ,4075589.660000896
1011873,07407,BOOK,NJ,4075589.660000896
1011874,07407,CALENDAR,NJ,4075589.660000896
1011875,07407,BOOK,NJ,4075589.660000896
1011877,07932,BOOK,NJ,4075589.660000896
1011878,07932,ARTWORK,NJ,4075589.660000896
1000001,07866,ARTWORK,NJ,4075589.660000896
1000002,07079,ARTWORK,NJ,4075589.660000896
1000005,08534,BOOK,NJ,4075589.660000896
1000008,07945,BOOK,NJ,4075589.660000896
1000009,07945,BOOK,NJ,4075589.660000896
1000016,07746,BOOK,NJ,4075589.660000896
1000038,07090,BOOK,NJ,4075589.660000896
1000039,07090,OTHER,NJ,4075589.660000896
1000041,07757,BOOK,NJ,4075589.660000896
1000042,07702,ARTWORK,NJ,4075589.660000896
1000043,07762,BOOK,NJ,4075589.660000896
1000051,07059,ARTWORK,NJ,4075589.660000896
1000052,07059,BOOK,NJ,4075589.660000896
1000067,07042,BOOK,NJ,4075589.660000896
1000068,07042,BOOK,NJ,4075589.660000896
1000069,07071,BOOK,NJ,4075589.660000896
1000070,07071,BOOK,NJ,4075589.660000896
1000071,07076,BOOK,NJ,4075589.660000896
1000072,07076,ARTWORK,NJ,4075589.660000896
1000073,07076,BOOK,NJ,4075589.660000896
1000074,07739,OTHER,NJ,4075589.660000896
1000096,07039,BOOK,NJ,4075589.660000896
1000101,07960,ARTWORK,NJ,4075589.660000896
1000114,07016,BOOK,NJ,4075589.660000896
1000115,07047,BOOK,NJ,4075589.660000896
1000116,07047,BOOK,NJ,4075589.660000896
1000118,07405,BOOK,NJ,4075589.660000896
1000119,07827,BOOK,NJ,4075589.660000896
1000152,07040,ARTWORK,NJ,4075589.660000896
1000153,07040,BOOK,NJ,4075589.660000896
1000175,07087,ARTWORK,NJ,4075589.660000896
1000181,08757,ARTWORK,NJ,4075589.660000896
1000188,08820,BOOK,NJ,4075589.660000896
1000189,08820,BOOK,NJ,4075589.660000896
1000191,08873,BOOK,NJ,4075589.660000896
1000201,08820,BOOK,NJ,4075589.660000896
1000203,07980,BOOK,NJ,4075589.660000896
1000214,08648,BOOK,NJ,4075589.660000896
1000220,08054,FREEBIE,NJ,4075589.660000896
1000237,07666,ARTWORK,NJ,4075589.660000896
1000240,07901,ARTWORK,NJ,4075589.660000896
1000241,07450,ARTWORK,NJ,4075589.660000896
1000245,08807,BOOK,NJ,4075589.660000896
1000258,07052,ARTWORK,NJ,4075589.660000896
1000271,08822,ARTWORK,NJ,4075589.660000896
1000272,07753,ARTWORK,NJ,4075589.660000896
1000274,07932,ARTWORK,NJ,4075589.660000896
1000280,07950,BOOK,NJ,4075589.660000896
1000295,07601,BOOK,NJ,4075589.660000896
1000305,07110,ARTWORK,NJ,4075589.660000896
1000335,08550,ARTWORK,NJ,4075589.660000896
1000344,07016,ARTWORK,NJ,4075589.660000896
1000346,07010,BOOK,NJ,4075589.660000896
1000347,07010,BOOK,NJ,4075589.660000896
1000349,08846,BOOK,NJ,4075589.660000896
1000378,07704,ARTWORK,NJ,4075589.660000896
1000417,07641,ARTWORK,NJ,4075589.660000896
1000430,07458,ARTWORK,NJ,4075589.660000896
1000431,07458,ARTWORK,NJ,4075589.660000896
1000432,07458,BOOK,NJ,4075589.660000896
1000433,07458,BOOK,NJ,4075589.660000896
1000434,07950,BOOK,NJ,4075589.660000896
1000435,07950,BOOK,NJ,4075589.660000896
1000438,07702,BOOK,NJ,4075589.660000896
1000439,07702,BOOK,NJ,4075589.660000896
1000441,07748,BOOK,NJ,4075589.660000896
1000442,07748,BOOK,NJ,4075589.660000896
1000484,08820,BOOK,NJ,4075589.660000896
1000485,08820,BOOK,NJ,4075589.660000896
1000493,07603,BOOK,NJ,4075589.660000896
1000502,07030,ARTWORK,NJ,4075589.660000896
1000513,08807,ARTWORK,NJ,4075589.660000896
1000515,07945,ARTWORK,NJ,4075589.660000896
1000517,08820,ARTWORK,NJ,4075589.660000896
