orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1011025,T2P0P,ARTWORK,AB,6189.429999999995
1011860,T6H5J,OCCASION,AB,6189.429999999995
1000854,T8C1G,CALENDAR,AB,6189.429999999995
1001567,T2N3C,CALENDAR,AB,6189.429999999995
1004112,T2L2K,BOOK,AB,6189.429999999995
1008776,T2R1L,BOOK,AB,6189.429999999995
1009165,T2P3R,ARTWORK,AB,6189.429999999995
1016961,T0K1W,BOOK,AB,6189.429999999995
1019425,T0M0W,ARTWORK,AB,6189.429999999995
1027632,T1K6V,BOOK,AB,6189.429999999995
1033431,T6H 4,OCCASION,AB,6189.429999999995
1034404,T0M0W,OCCASION,AB,6189.429999999995
1035502,T5N1Y,OTHER,AB,6189.429999999995
1036215,T2R 1,ARTWORK,AB,6189.429999999995
1038878,T2V3N,BOOK,AB,6189.429999999995
1039640,T2E4A,ARTWORK,AB,6189.429999999995
1040314,T2Y 3,BOOK,AB,6189.429999999995
1040711,T6H5S,BOOK,AB,6189.429999999995
1042440,T5J3L,CALENDAR,AB,6189.429999999995
1047722,T3H3L,BOOK,AB,6189.429999999995
1047723,T3H3L,BOOK,AB,6189.429999999995
1047724,T3H3L,BOOK,AB,6189.429999999995
1049441,T2L1C,BOOK,AB,6189.429999999995
1051919,T5P 2,GAME,AB,6189.429999999995
1051967,T6H4X,BOOK,AB,6189.429999999995
1055318,T5J0Z,BOOK,AB,6189.429999999995
1066077,t8n 2,ARTWORK,AB,6189.429999999995
1067881,T6G2T,BOOK,AB,6189.429999999995
1071317,T2R1N,BOOK,AB,6189.429999999995
1074398,T2L1C,BOOK,AB,6189.429999999995
1074399,T2L1C,BOOK,AB,6189.429999999995
1078476,T5J0G,APPAREL,AB,6189.429999999995
1085000,T3B5P,ARTWORK,AB,6189.429999999995
1085001,T3B5P,OCCASION,AB,6189.429999999995
1091431,T5N 3,APPAREL,AB,6189.429999999995
1095494,T2T2H,APPAREL,AB,6189.429999999995
1096799,T1Y1Y,BOOK,AB,6189.429999999995
1099311,T2T0L,APPAREL,AB,6189.429999999995
1100512,T8N6W,ARTWORK,AB,6189.429999999995
1103657,T2V2N,OCCASION,AB,6189.429999999995
1104643,T9H2V,ARTWORK,AB,6189.429999999995
1106046,T2MOM,BOOK,AB,6189.429999999995
1106047,T2MOM,OCCASION,AB,6189.429999999995
1106522,T5K2K,BOOK,AB,6189.429999999995
1108221,T5K0L,BOOK,AB,6189.429999999995
1109105,T6G0E,APPAREL,AB,6189.429999999995
1109714,T1A5J,BOOK,AB,6189.429999999995
1109715,T1A5J,BOOK,AB,6189.429999999995
1109716,T1A5J,BOOK,AB,6189.429999999995
1109874,T2R1H,BOOK,AB,6189.429999999995
1111623,T2V3N,BOOK,AB,6189.429999999995
1113358,T5T1E,BOOK,AB,6189.429999999995
1116301,T2S1T,BOOK,AB,6189.429999999995
1117411,T2S2V,BOOK,AB,6189.429999999995
1118545,T8V6Z,ARTWORK,AB,6189.429999999995
1118546,T8V6Z,ARTWORK,AB,6189.429999999995
1121287,T1K0E,BOOK,AB,6189.429999999995
1124174,T1A5J,BOOK,AB,6189.429999999995
1124175,T1A5J,BOOK,AB,6189.429999999995
1124176,T1A5J,BOOK,AB,6189.429999999995
1124922,T2P4H,OCCASION,AB,6189.429999999995
1124923,T2P4H,ARTWORK,AB,6189.429999999995
1129595,T2T2E,OCCASION,AB,6189.429999999995
1129596,T2T2E,ARTWORK,AB,6189.429999999995
1129693,T3K4L,BOOK,AB,6189.429999999995
1131632,T2E7E,BOOK,AB,6189.429999999995
1133513,T5K0l,BOOK,AB,6189.429999999995
1133754,T2T3E,BOOK,AB,6189.429999999995
1133841,T5K-2,ARTWORK,AB,6189.429999999995
1134561,T2N0R,BOOK,AB,6189.429999999995
1135452,T7Y1G,BOOK,AB,6189.429999999995
1136566,T9V2T,ARTWORK,AB,6189.429999999995
1138292,T2E7E,BOOK,AB,6189.429999999995
1140179,T2H1Z,OCCASION,AB,6189.429999999995
1140180,T2H1Z,ARTWORK,AB,6189.429999999995
1140923,T3E3A,ARTWORK,AB,6189.429999999995
1140930,T3H1R,APPAREL,AB,6189.429999999995
1142101,T5Y1L,OCCASION,AB,6189.429999999995
1142944,T4C-1,APPAREL,AB,6189.429999999995
1142945,T4C-1,APPAREL,AB,6189.429999999995
